ADM1_EN,ADM1_FR,ADM1_PCODE,DATE,VALIDON
Adamaoua,Adamaoua,CM001,2018-12-17 00:00:00,2019-01-04 00:00:00
Centre,Centre,CM002,2018-12-17 00:00:00,2019-01-04 00:00:00
East,Est,CM003,2018-12-17 00:00:00,2019-01-04 00:00:00
Far-North,Extr̻me-Nord,CM004,2018-12-17 00:00:00,2019-01-04 00:00:00
Littoral,Littoral,CM005,2018-12-17 00:00:00,2019-01-04 00:00:00
North,Nord,CM006,2018-12-17 00:00:00,2019-01-04 00:00:00
North-West,Nord-Ouest,CM007,2018-12-17 00:00:00,2019-01-04 00:00:00
South,Sud,CM009,2018-12-17 00:00:00,2019-01-04 00:00:00
South-West,Sud-Ouest,CM010,2018-12-17 00:00:00,2019-01-04 00:00:00
West,Ouest,CM008,2018-12-17 00:00:00,2019-01-04 00:00:00
